,COMUNAS,BARRIOS,LUGAR_DEL_HECHO,N_VICTIMAS,pos x,pos y
91,14,PALERMO,AV DEL LIBERTADOR Y TAGLE,1,-58.39936478,-34.58271474
92,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI KM 2.9,1,-58.37936704,-34.62694503
93,12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,CRISOLOGO LARRALDE Y AVDA TRIUNVIRATO,1,-58.49659234,-34.56353635
94,9,LINIERS - MATADEROS - PARQUE AVELLANEDA,AV EVA PERON 4233,1,-58.47256391,-34.65194557
95,7,FLORES - PARQUE CHACABUCO,AV ASAMBLEA Y AV CNEL ESTEBAN BONORINO,1,-58.45130953,-34.64053676
96,7,FLORES - PARQUE CHACABUCO,AVDA RIVADAVIA Y RIVERA INDARTE,1,-58.46271207,-34.62884871
97,10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,AUTOPISTA PERITO MORENO Y AV JUAN B ALBERDI,1,-58.49020869,-34.64243791
98,10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,IRIGOYEN Y TINOGASTA,2,-58.52572109,-34.62125906
99,10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,IRIGOYEN Y TINOGASTA,2,-58.52572109,-34.62125906
100,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,AV MARIANO ACOSTA Y AV CNEL ROCA,1,-58.44094791,-34.66677111
101,5,ALMAGRO - BOEDO,CASTRO Y AV PAVON,1,-58.41914024,-34.6305389
102,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,AUTOPISTA 9 DE JULIO SUR Y AV BRASIL,1,-58.37910942,-34.62764717
103,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,MIRAVE 3500,1,-58.39871183,-34.64539318
104,3,BALVANERA - SAN CRISTOBAL,AV SAN JUAN Y 24 DE NOVIEMBRE,1,-58.41036975,-34.62477021
105,14,PALERMO,AV LAS HERAS Y SANCHEZ DE BUSTAMANTE,1,-58.40204698,-34.5834269
106,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,AV PIEDRA BUENA Y 2 DE ABRIL 1982,1,-58.48935287,-34.67648597
107,14,PALERMO,AV FIGUEROA ALCORTA  Y PINEDO,1,-58.42260225,-34.56403694
108,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,AU BUENOS AIRES - LA PLATA KM. 4,1,,
109,11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,AV SAN MARTIN Y LADINES,1,-58.51537091,-34.59035925
110,13,BELGRANO - COLEGIALES - NUÃ‘EZ,AV CABILDO Y BLANCO ENCALADA,1,-58.4590967,-34.55922742
111,14,PALERMO,AV PRESIDENTE FIGUEROA ALCORTA Y AV DORREGO,1,-58.42008769,-34.56539579
112,13,BELGRANO - COLEGIALES - NUÃ‘EZ,AV JURAMENTO Y VUELTA DE OBLIGADO,1,-58.45566399,-34.56147293
113,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,AV DEL LIBERTADOR Y AV RAMOS MEJIA,1,-58.37533517,-34.59276462
114,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,AV 27 DE FEBRERO Y AV ESCALADA,1,-58.44451316,-34.68475866
115,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,AV. ALTE. BROWN 984,1,-58.35975012,-34.63343907
116,13,BELGRANO - COLEGIALES - NUÃ‘EZ,AV DEL LIBERTADOR Y LA PAMPA,1,-58.44523595,-34.55953855
117,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,PICHINCHA Y AV BRASIL,1,-58.39626094,-34.63036565
118,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,AV INDEPENDENCIA Y VIRREY CEVALLOS,1,-58.38896772,-34.61799615
119,15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,AV GARMENDIA 4895,1,-58.46536113,-34.59484504
120,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,AV AMANCIO ALCORTA Y DIOGENES TABORDA,1,-58.40879146,-34.65273216
121,0,,SD,1,,
122,7,FLORES - PARQUE CHACABUCO,AV PERITO MORENO Y ZUVIRIA,1,-58.46451841,-34.64991946
123,15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,ARAOZ Y AV CORDOBA,1,-58.4291709,-34.59485488
124,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,AV GRAL PAZ 15200,1,-58.49007772,-34.68251141
125,10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,MADERO 900,1,-58.52756365,-34.62772274
126,3,BALVANERA - SAN CRISTOBAL,AV INDEPENDENCIA Y DEAN FUNES,1,-58.40638983,-34.61943202
127,11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,AV JUAN B JUSTO 5645,1,-58.47576807,-34.61740997
128,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,AV 27 DE FEBRERO Y AV ESCALADA,1,-58.44451316,-34.68475866
129,9,LINIERS - MATADEROS - PARQUE AVELLANEDA,AUTOPISTA PERITO MORENO ALTURA VELZ,1,-58.51927194,-34.63635787
130,14,PALERMO,AV SANTA FE Y GODOY CRUZ,1,-58.42525456,-34.57866344
131,15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,AV FEDERICO LACROZE Y AV FOREST,1,-58.45396573,-34.58518167
132,11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,AV GRAL PAZ Y AV GENERAL MOSCONI,1,-58.52340614,-34.59798754
133,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,AV LA PLATA Y CNEL GREGORIO POMAR,1,-58.42323628,-34.64119105
134,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,AV MARTIN GARCIA 300,1,-58.36926144,-34.62841919
135,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,AV LA PLATA Y CNEL GREGORIO POMAR,1,-58.42323628,-34.64119105
136,12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,NUÑEZ Y AV RICARDO BALBIN,1,-58.47935434,-34.55676497
137,12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,AV GRAL PAZ 4500,1,-58.50598256,-34.5637998
138,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,AU BUENOS AIRES - LA PLATA Y AU 25 DE MAYO,1,-58.36607137,-34.62150748
139,5,ALMAGRO - BOEDO,AV GARAY Y CASTRO,1,-58.41918902,-34.63174259
140,7,FLORES - PARQUE CHACABUCO,AV DIRECTORIO Y AV SAN PEDRITO,1,-58.46749188,-34.63551751
141,0,,AUTOPISTA 25 DE MAYO,1,,
142,7,FLORES - PARQUE CHACABUCO,CNEL RAMON L FALCON Y MEMBRILLAR,1,-58.46064174,-34.62960517
143,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,AV BELGRANO Y AV PASEO COLON,1,-58.36956186,-34.61232875
144,14,PALERMO,ARENALES 3319,1,-58.40966671,-34.58788235
145,3,BALVANERA - SAN CRISTOBAL,REPUBLICA BOLIVARIANA DE VENEZUELA Y SAAVEDRA,1,-58.40288226,-34.61544091
146,11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,AV. JUAN B JUSTO Y ACHUPALLAS,1,-58.4659423,-34.61028571
147,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,OLAVARRIA Y AV. VELEZ SARSFIELD,1,-58.38957669,-34.64410277
148,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,LIMA Y MEXICO,1,-58.3816166,-34.61529543
149,14,PALERMO,JOSE A CABRERA Y BONPLAND,1,-58.43917004,-34.58494351
150,5,ALMAGRO - BOEDO,AU 25 DE MAYO Y AV. BOEDO,1,-58.41595919,-34.62743346
151,6,CABALLITO,AV. DIRECTORIO Y RIGLOS,1,-58.4356488,-34.62828656
152,12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,AV. GRAL. PAZ Y AV. R. BALBIN,1,-58.5007381,-34.5497951
153,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,TRAFUL Y DIOGENES TABORDA,1,-58.40969005,-34.6505529
154,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,IRIARTE 3055,1,-58.38972622,-34.65098981
155,12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,AV. DONADO Y ARIAS,1,-58.49185972,-34.55046754
156,2,RECOLETA,CORDOBA AV. Y CALLAO,1,-58.39293417,-34.59963642
157,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,"AU 25 DE MAYO, KILOMETRO 8.3, SENTIDO HACIA PROVINCIA DE BUENOS AIRES, C.A.B.A.",1,-58.38099494,-34.62288231
158,14,PALERMO,AV. JUAN B JUSTO Y PARAGUAY,1,-58.429012,-34.58095431
159,9,LINIERS - MATADEROS - PARQUE AVELLANEDA,AV. GRAL. PAZ Y AV. DE LOS CORRALES,1,-58.50877521,-34.66977709
160,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,SARMIENTO Y LIBERTAD,1,-58.38362373,-34.60509972
